//Lane Information
LaneID, Lane Name, Terminal Stations
L1, "Heng Ong Huat", S1;S9
L2, "Bing Chilling", S10;S17
L3, "Algebra", S18;S25


//Station Information
StationID, LaneID, Station Name
S1, L1, "Gombak"
S2, L1, "Taman melati"
S3, L1, "Wangsa Maju"
S4, L1, "Sri Rampai"
S5, L1, "Setiawangsa"
S6, L1, "Jelatek"
S7, L1, "Dato' Keramat"
S8, L1, "Damai"
S9, L1, "Ampang Park"
S10, L2, "KLCC"
S11, L2, "Kampung Baru"
S12, L2, "Dang Wangi"
S13, L2, "Masjid Jamek"
S14, L2, "Pasar Seni"
S15, L2, "KL Sentral"
S16, L2, "Bangsar"
S17, L2, "Abdullah Hukum"
S18, L3, "Kerinchi"
S19, L3, "Universiti"
S20, L3, "Taman Jaya"
S21, L3, "Asia Jaya"
S22, L3, "Taman Paramount"
S23, L3, "Taman Bahagia"
S24, L3, "Kelana Jaya"
S25, L3, "Lembah Subang"


//Between station
FromStationID, ToStationID, Price, Duration
S1, S2, 10, 23
S2, S3, 8, 15
S3, S4, 12, 18
S4, S5, 15, 27
S5, S6, 11, 20
S6, S7, 13, 22
S7, S8, 10, 19
S8, S9, 16, 30
S10, S11, 7, 16
S11, S12, 10, 24
S12, S13, 9, 24
S13, S14, 8, 27
S14, S15, 5, 19
S15, S16, 7, 17
S16, S17, 9, 26
S18, S19, 11, 19
S19, S20, 12, 28
S20, S21, 14, 26
S21, S22, 13, 30
S22, S23, 11, 20
S23, S24, 8, 15
S24, S25, 15, 30


//Lane Schedules
ScheduleID, LaneID, TrainID, Departure StationId, Arrival StationId, DepartureDay, DepartureTime
SS001,L1,T1,S1,S9,7,06:00
SS002,L1,T2,S1,S9,5,06:30
SS003,L1,T3,S1,S9,7,07:00
SS004,L1,T4,S1,S9,5,07:30
SS005,L1,T5,S1,S9,7,08:00
SS006,L1,T6,S1,S9,5,08:30
SS007,L1,T7,S1,S9,7,09:00
SS008,L1,T8,S1,S9,5,09:30
SS009,L1,T9,S1,S9,7,10:00
SS010,L1,T10,S1,S9,5,10:30
SS011,L1,T11,S1,S9,7,11:00
SS012,L1,T12,S1,S9,5,11:30
SS013,L1,T13,S1,S9,7,12:00
SS014,L1,T14,S1,S9,5,12:30
SS015,L1,T15,S1,S9,7,13:00
SS016,L1,T16,S1,S9,5,13:30
SS017,L1,T1,S1,S9,7,14:00
SS018,L1,T2,S1,S9,5,14:30
SS019,L1,T3,S1,S9,7,15:00
SS020,L1,T4,S1,S9,5,15:30
SS021,L1,T5,S1,S9,7,16:00
SS022,L1,T6,S1,S9,5,16:30
SS023,L1,T7,S1,S9,7,17:00
SS024,L1,T8,S1,S9,5,17:30
SS025,L1,T9,S1,S9,7,18:00
SS026,L1,T10,S1,S9,5,18:30
SS027,L1,T11,S1,S9,7,19:00
SS028,L1,T12,S1,S9,5,19:30
SS029,L1,T13,S1,S9,7,20:00
SS030,L1,T14,S1,S9,5,20:30
SS031,L1,T15,S1,S9,7,21:00
SS032,L1,T16,S1,S9,5,21:30
SS033,L1,T17,S1,S9,7,22:00
SS034,L1,T9,S9,S1,7,06:00
SS035,L1,T10,S9,S1,5,06:30
SS036,L1,T11,S9,S1,7,07:00
SS037,L1,T12,S9,S1,5,07:30
SS038,L1,T13,S9,S1,7,08:00
SS039,L1,T14,S9,S1,5,08:30
SS040,L1,T15,S9,S1,7,09:00
SS041,L1,T16,S9,S1,5,09:30
SS042,L1,T1,S9,S1,7,10:00
SS043,L1,T2,S9,S1,5,10:30
SS044,L1,T3,S9,S1,7,11:00
SS045,L1,T4,S9,S1,5,11:30
SS046,L1,T5,S9,S1,7,12:00
SS047,L1,T6,S9,S1,5,12:30
